"match_id","radiant_win","order","pick","hero_id","query_date"
"5451848396","0","5","1","26","2020/04/01"
"5451848396","0","6","1","100","2020/04/01"
"5451848396","0","7","1","102","2020/04/01"
"5451848396","0","8","1","43","2020/04/01"
"5451848396","0","9","1","32","2020/04/01"
"5451848396","0","10","1","10","2020/04/01"
"5451826435","1","1","1","27","2020/04/01"
"5451826435","1","2","1","64","2020/04/01"
"5451826435","1","3","1","38","2020/04/01"
"5451826435","1","4","1","46","2020/04/01"
"5451826435","1","5","1","47","2020/04/01"
"5451826435","1","6","1","84","2020/04/01"
"5451826435","1","7","1","42","2020/04/01"
"5451826435","1","8","1","104","2020/04/01"
"5451826435","1","9","1","6","2020/04/01"
"5451826435","1","10","1","101","2020/04/01"
"5451805274","0","1","1","110","2020/04/01"
"5451805274","0","2","1","128","2020/04/01"
"5451805274","0","3","1","65","2020/04/01"
"5451805274","0","4","1","63","2020/04/01"
"5451805274","0","5","1","84","2020/04/01"
"5451805274","0","6","1","83","2020/04/01"
"5451805274","0","7","1","48","2020/04/01"
"5451805274","0","8","1","104","2020/04/01"
"5451805274","0","9","1","22","2020/04/01"
"5451805274","0","10","1","14","2020/04/01"
"5451793488","1","1","1","58","2020/04/01"
"5451793488","1","2","1","119","2020/04/01"
"5451793488","1","3","1","23","2020/04/01"
"5451793488","1","4","1","38","2020/04/01"
"5451793488","1","5","1","106","2020/04/01"
"5451793488","1","6","1","110","2020/04/01"
"5451793488","1","7","1","7","2020/04/01"
"5451793488","1","8","1","47","2020/04/01"
"5451793488","1","9","1","49","2020/04/01"
"5451793488","1","10","1","15","2020/04/01"
"5451763580","0","1","1","52","2020/04/01"
"5451763580","0","2","1","84","2020/04/01"
"5451763580","0","3","1","110","2020/04/01"
"5451763580","0","4","1","100","2020/04/01"
"5451763580","0","5","1","8","2020/04/01"
"5451763580","0","6","1","53","2020/04/01"
"5451763580","0","7","1","104","2020/04/01"
"5451763580","0","8","1","88","2020/04/01"
"5451763580","0","9","1","95","2020/04/01"
"5451763580","0","10","1","19","2020/04/01"
"5451755273","0","1","1","110","2020/04/01"
"5451755273","0","2","1","39","2020/04/01"
"5451755273","0","3","1","88","2020/04/01"
"5451755273","0","4","1","38","2020/04/01"
"5451755273","0","5","1","23","2020/04/01"
"5451755273","0","6","1","3","2020/04/01"
"5451755273","0","7","1","64","2020/04/01"
"5451755273","0","8","1","36","2020/04/01"
"5451755273","0","9","1","70","2020/04/01"
"5451755273","0","10","1","25","2020/04/01"
"5451728370","0","1","1","121","2020/04/01"
"5451728370","0","2","1","96","2020/04/01"
"5451728370","0","3","1","86","2020/04/01"
"5451728370","0","4","1","129","2020/04/01"
"5451728370","0","5","1","48","2020/04/01"
"5451728370","0","6","1","107","2020/04/01"
"5451728370","0","7","1","79","2020/04/01"
"5451728370","0","8","1","42","2020/04/01"
"5451728370","0","9","1","25","2020/04/01"
"5451728370","0","10","1","46","2020/04/01"
"5451699100","1","1","1","7","2020/04/01"
"5451699100","1","2","1","110","2020/04/01"
"5451699100","1","3","1","78","2020/04/01"
"5451699100","1","4","1","63","2020/04/01"
"5451699100","1","5","1","86","2020/04/01"
"5451699100","1","6","1","39","2020/04/01"
"5451699100","1","7","1","46","2020/04/01"
"5451699100","1","8","1","93","2020/04/01"
"5451699100","1","9","1","69","2020/04/01"
"5451699100","1","10","1","32","2020/04/01"
"5451687250","1","1","1","86","2020/04/01"
"5451687250","1","2","1","53","2020/04/01"
"5451687250","1","3","1","58","2020/04/01"
"5451687250","1","4","1","120","2020/04/01"
"5451687250","1","5","1","7","2020/04/01"
"5451687250","1","6","1","85","2020/04/01"
"5451687250","1","7","1","67","2020/04/01"
"5451687250","1","8","1","12","2020/04/01"
"5451687250","1","9","1","17","2020/04/01"
"5451687250","1","10","1","13","2020/04/01"
"5451636441","0","1","1","107","2020/04/01"
"5451636441","0","2","1","81","2020/04/01"
"5451636441","0","3","1","68","2020/04/01"
"5451636441","0","4","1","13","2020/04/01"
"5451636441","0","5","1","26","2020/04/01"
"5451636441","0","6","1","64","2020/04/01"
"5451636441","0","7","1","99","2020/04/01"
"5451636441","0","8","1","70","2020/04/01"
"5451636441","0","9","1","23","2020/04/01"
"5451636441","0","10","1","40","2020/04/01"
"5451624988","0","1","1","7","2020/04/01"
"5451624988","0","2","1","58","2020/04/01"
"5451624988","0","3","1","51","2020/04/01"
"5451624988","0","4","1","3","2020/04/01"
"5451624988","0","5","1","114","2020/04/01"
"5451624988","0","6","1","50","2020/04/01"
"5451624988","0","7","1","96","2020/04/01"
"5451624988","0","8","1","70","2020/04/01"
"5451624988","0","9","1","17","2020/04/01"
"5451624988","0","10","1","47","2020/04/01"
"5451596027","0","1","1","126","2020/04/01"
"5451596027","0","2","1","39","2020/04/01"
"5451596027","0","3","1","87","2020/04/01"
"5451596027","0","4","1","13","2020/04/01"
"5451596027","0","5","1","19","2020/04/01"
"5451596027","0","6","1","110","2020/04/01"
"5451596027","0","7","1","2","2020/04/01"
"5451596027","0","8","1","109","2020/04/01"
"5451596027","0","9","1","102","2020/04/01"
"5451596027","0","10","1","49","2020/04/01"
"5451579520","0","1","1","121","2020/04/01"
"5451579520","0","2","1","31","2020/04/01"
"5451579520","0","3","1","39","2020/04/01"
"5451579520","0","4","1","7","2020/04/01"
"5451579520","0","5","1","86","2020/04/01"
"5451579520","0","6","1","53","2020/04/01"
"5451579520","0","7","1","96","2020/04/01"
"5451579520","0","8","1","32","2020/04/01"
"5451579520","0","9","1","49","2020/04/01"
"5451579520","0","10","1","109","2020/04/01"
"5451573159","1","1","1","86","2020/04/01"
"5451573159","1","2","1","120","2020/04/01"
"5451573159","1","3","1","27","2020/04/01"
"5451573159","1","4","1","29","2020/04/01"
"5451573159","1","5","1","49","2020/04/01"
"5451573159","1","6","1","64","2020/04/01"
"5451573159","1","7","1","93","2020/04/01"
"5451573159","1","8","1","70","2020/04/01"
"5451573159","1","9","1","8","2020/04/01"
"5451573159","1","10","1","48","2020/04/01"
"5451543576","0","1","1","129","2020/04/01"
"5451543576","0","2","1","100","2020/04/01"
"5451543576","0","3","1","87","2020/04/01"
"5451543576","0","4","1","20","2020/04/01"
"5451543576","0","5","1","43","2020/04/01"
"5451543576","0","6","1","63","2020/04/01"
"5451543576","0","7","1","51","2020/04/01"
"5451543576","0","8","1","77","2020/04/01"
"5451543576","0","9","1","13","2020/04/01"
"5451543576","0","10","1","89","2020/04/01"
"5451541735","0","1","1","39","2020/04/01"
"5451541735","0","2","1","38","2020/04/01"
"5451541735","0","3","1","66","2020/04/01"
"5451541735","0","4","1","112","2020/04/01"
"5451541735","0","5","1","120","2020/04/01"
"5451541735","0","6","1","86","2020/04/01"
"5451541735","0","7","1","46","2020/04/01"
"5451541735","0","8","1","43","2020/04/01"
"5451541735","0","9","1","10","2020/04/01"
"5451541735","0","10","1","6","2020/04/01"
"5451503234","1","1","1","5","2020/04/01"
"5451503234","1","2","1","126","2020/04/01"
"5451503234","1","3","1","64","2020/04/01"
"5451503234","1","4","1","69","2020/04/01"
"5451503234","1","5","1","9","2020/04/01"
"5451503234","1","6","1","40","2020/04/01"
"5451503234","1","7","1","49","2020/04/01"
"5451503234","1","8","1","17","2020/04/01"
"5451503234","1","9","1","41","2020/04/01"
"5451503234","1","10","1","42","2020/04/01"
"5451496610","1","1","1","106","2020/04/01"
"5451496610","1","2","1","121","2020/04/01"
"5451496610","1","3","1","38","2020/04/01"
"5451496610","1","4","1","31","2020/04/01"
"5451496610","1","5","1","44","2020/04/01"
"5451496610","1","6","1","2","2020/04/01"
"5451496610","1","7","1","63","2020/04/01"
"5451496610","1","8","1","119","2020/04/01"
"5451496610","1","9","1","109","2020/04/01"
"5451496610","1","10","1","76","2020/04/01"
"5451491787","0","1","1","21","2020/04/01"
"5451491787","0","2","1","83","2020/04/01"
"5451491787","0","3","1","38","2020/04/01"
"5451491787","0","4","1","48","2020/04/01"
"5451491787","0","5","1","26","2020/04/01"
"5451491787","0","6","1","126","2020/04/01"
"5451491787","0","7","1","1","2020/04/01"
"5451491787","0","8","1","14","2020/04/01"
"5451491787","0","9","1","11","2020/04/01"
"5451491787","0","10","1","74","2020/04/01"
"5451482354","1","1","1","128","2020/04/01"
"5451482354","1","2","1","79","2020/04/01"
"5451482354","1","3","1","109","2020/04/01"
"5451482354","1","4","1","106","2020/04/01"
"5451482354","1","5","1","25","2020/04/01"
"5451482354","1","6","1","52","2020/04/01"
"5451482354","1","7","1","38","2020/04/01"
"5451482354","1","8","1","69","2020/04/01"
"5451482354","1","9","1","126","2020/04/01"
"5451482354","1","10","1","56","2020/04/01"
"5451457658","1","1","1","86","2020/04/01"
"5451457658","1","2","1","39","2020/04/01"
"5451457658","1","3","1","79","2020/04/01"
"5451457658","1","4","1","53","2020/04/01"
"5451457658","1","5","1","85","2020/04/01"
"5451457658","1","6","1","84","2020/04/01"
"5451457658","1","7","1","49","2020/04/01"
"5451457658","1","8","1","93","2020/04/01"
"5451457658","1","9","1","96","2020/04/01"
"5451457658","1","10","1","12","2020/04/01"
"5451446319","0","1","1","53","2020/04/01"
"5451446319","0","2","1","86","2020/04/01"
"5451446319","0","3","1","16","2020/04/01"
"5451446319","0","4","1","31","2020/04/01"
"5451446319","0","5","1","121","2020/04/01"
"5451446319","0","6","1","107","2020/04/01"
"5451446319","0","7","1","67","2020/04/01"
"5451446319","0","8","1","38","2020/04/01"
"5451446319","0","9","1","10","2020/04/01"
"5451446319","0","10","1","82","2020/04/01"
"5451438042","1","1","1","64","2020/04/01"
"5451438042","1","2","1","38","2020/04/01"
"5451438042","1","3","1","121","2020/04/01"
"5451438042","1","4","1","32","2020/04/01"
"5451438042","1","5","1","128","2020/04/01"
"5451438042","1","6","1","88","2020/04/01"
"5451438042","1","7","1","99","2020/04/01"
"5451438042","1","8","1","11","2020/04/01"
"5451438042","1","9","1","56","2020/04/01"
"5451438042","1","10","1","23","2020/04/01"
"5451424115","0","1","1","3","2020/04/01"
"5451424115","0","2","1","53","2020/04/01"
"5451424115","0","3","1","100","2020/04/01"
"5451424115","0","4","1","43","2020/04/01"
"5451424115","0","5","1","68","2020/04/01"
"5451424115","0","6","1","71","2020/04/01"
"5451424115","0","7","1","83","2020/04/01"
"5451424115","0","8","1","126","2020/04/01"
"5451424115","0","9","1","109","2020/04/01"
"5451424115","0","10","1","19","2020/04/01"
"5451422445","0","1","1","87","2020/04/01"
"5451422445","0","2","1","84","2020/04/01"
"5451422445","0","3","1","6","2020/04/01"
"5451422445","0","4","1","106","2020/04/01"
"5451422445","0","5","1","23","2020/04/01"
